# pmichel : Magniture<5, no other restrictions
#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2012-08-17T22:04:08 [V1.91 (20-Jun-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.91 (20-Jun-2012)	
#INFO	-ref=VIZ502eb7e02d25	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:V/109&tab:{V/109/sky2kv4}&key:source=V/109/sky2kv4&HTTPPRM:&-ref=VIZ502eb7e02d25&-file=.&-out.add=_r&-out.add=_RAJ,_DEJ&-oc.form=sexa&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out=SKY2000&-out=HD&-out=Name&-out=Vname&-out=RAJ2000&-sort=RAJ2000&-out=DEJ2000&-out=Vmag&Vmag=3&-out=B-V&-out=U-B&-out=Sp&-ignore=Simbad=*&Simbad=Simbad&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-out.max=9999&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/109/sky2kv4
#-order=I
#-out=Name
#-out=Vname
#-out=RAJ2000
#-sort=RAJ2000
#-out=DEJ2000
#-out=Vmag
#Vmag=<5
#-out=B-V
#-out=v-mag1
#-out=v-mag2
#Simbad=Simbad
#

#RESOURCE=yCat_5109
#Name: V/109
#Title: SKY2000 Catalog, Version 4 (Myers+ 2002)
#Table	V_109_sky2kv4:
#Name: V/109/sky2kv4
#Title: The Sky2000 Version 4 Catalogue
#Column	Name	(a10)	Star name (or AGK3 number)	[ucd=meta.id]
#Column	Vname	(a10)	Variable star name (or doubtful variability)	[ucd=meta.id]
#Column	RAJ2000	(A13)	Right ascension (J2000) hours	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A13)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F6.3)	?Observed visual magnitude (V or v)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F6.3)	?B-V color (observed)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	v-mag1	(F6.3)	?v - passband #1 color	[ucd=phot.color]
#Column	v-mag2	(F6.3)	?v - passband #2 color	[ucd=phot.color]
Name;Vname;RAJ2000;DEJ2000;Vmag;B-V;v-mag1;v-mag2
 39chi Cas;          ;01 33 55.8769;+59 13 55.345; 4.690; 0.993; 0.741; 1.300
 50ups And;          ;01 36 47.8428;+41 24 19.652; 4.100; 0.541; 0.439; 0.750
   alp Eri; 15353    ;01 37 42.8466;-57 14 12.327; 0.540;-0.058;-0.030;-0.140
 51    And;          ;01 37 59.5561;+48 37 41.567; 3.590; 1.281; 0.900; 1.610
 53tau And;   584    ;01 40 34.8170;+40 34 37.377; 4.970;-0.094;-0.047;-0.080
106nu  Psc;          ;01 41 25.8942;+05 29 15.408; 4.440; 1.360; 1.008; 1.770
          ;          ;01 41 47.1430;+42 36 48.128; 4.960; 0.618; 0.499; 0.860
          ;          ;01 42 43.5101;-03 41 24.722; 4.990; 1.381; 0.938; 1.650
   phi Per;phi   Per ;01 43 39.6375;+50 41 19.437; 4.040;-0.101; 0.136; 0.180
 52tau Cet; 15373    ;01 44 04.0829;-15 56 14.928; 3.490; 0.727; 0.605; 1.090
110omi Psc;   615    ;01 45 23.6306;+09 09 27.849; 4.270; 0.954; 0.684; 1.210
 53chi Cet;          ;01 49 35.1027;-10 41 11.077; 4.660; 0.348; 0.281; 0.460
 55zet Cet;   638    ;01 51 27.6336;-10 20 06.136; 3.730; 1.131; 0.797; 1.350
  2alp Tri;alp   Tri ;01 53 04.9079;+29 34 43.785; 3.420; 0.492; 0.407; 0.700
  5gam2Ari;gam   Ari ;01 53 31.8143;+19 17 37.866; 3.880;-0.047;-0.036;-0.086
  5gam1Ari;          ;01 53 31.8210;+19 17 45.404; 4.640;-0.023;-0.036;
111xi  Psc;   654    ;01 53 33.3504;+03 11 15.132; 4.620; 0.936; 0.684; 1.200
   psi Phe;psi   Phe ;01 53 38.7417;-46 18 09.607; 4.430; 1.516; 1.730; 3.250
 45eps Cas;   652    ;01 54 23.7255;+63 40 12.365; 3.350;-0.129;-0.095;-0.150
  6bet Ari;   658    ;01 54 38.4092;+20 48 28.926; 2.660; 0.162; 0.081; 0.220
   eta2Hyi;          ;01 54 56.1314;-67 38 50.292; 4.690; 0.931; 0.750; 1.240
   chi Eri;   671    ;01 55 57.4724;-51 36 32.025; 3.720; 0.847; 0.680; 1.130
 46ome Cas;   659    ;01 56 00.0260;+68 41 06.870; 4.980;-0.087;-0.043;
 56    Cet;          ;01 56 40.1980;-22 31 36.426; 4.900; 1.435;      ;
          ;          ;01 57 10.0805;-47 23 06.998; 4.840; 0.858; 0.700; 1.150
  9lam Ari;          ;01 57 55.7172;+23 35 45.820; 4.770; 0.296; 0.239; 0.440
   alp Hyi;          ;01 58 46.1935;-61 34 11.493; 2.860; 0.308; 0.290; 0.430
 59ups Cet;          ;02 00 00.3080;-21 04 40.194; 4.000; 1.569; 1.287; 2.300
 48    Cas;   694    ;02 01 57.4527;+70 54 25.272; 4.520; 0.160; 0.119; 0.260
113alp Psc;alp   Psc ;02 02 02.6975;+02 45 49.645; 3.820; 0.024; 0.070; 0.070
113alp Psc;alp   Psc ;02 02 02.8201;+02 45 49.534; 3.820; 0.024; 0.070; 0.070
 50    Cas;          ;02 03 26.1054;+72 25 16.660; 3.950; 0.021; 0.013; 0.060
 57gam1And;          ;02 03 53.9531;+42 19 47.009; 2.170; 1.400; 0.940; 1.620
 57gam2And;          ;02 03 54.7198;+42 19 51.413; 4.840; 0.030; 0.125;
   nu  For;nu    For ;02 04 29.4385;-29 17 48.548; 4.700;-0.148;-0.040;-0.180
 13alp Ari;   725    ;02 07 10.4071;+23 27 44.723; 2.020; 1.160; 0.837; 1.480
 58    And;          ;02 08 29.2598;+37 51 32.678; 4.790; 0.124; 0.091; 0.210
 14    Ari;          ;02 09 25.3363;+25 56 23.612; 4.980; 0.350; 0.295;
  4bet Tri; 15447    ;02 09 32.6269;+34 59 14.269; 3.020; 0.155; 0.105; 0.220
 65xi 1Cet;   749    ;02 12 59.9955;+08 50 48.182; 4.370; 0.883; 0.654; 1.160
 60    And;   746    ;02 13 13.3240;+44 13 53.947; 4.830; 1.487; 1.118;
   phi Eri;          ;02 16 30.5853;-51 30 43.793; 3.550;-0.099;-0.070;-0.180
  8del Tri;          ;02 17 03.2301;+34 13 27.232; 4.870; 0.604; 0.530;
  9gam Tri;          ;02 17 18.8673;+33 50 49.897; 4.010; 0.025;-0.007; 0.030
 68omi Cet;omi   Cet ;02 19 20.7927;-02 58 39.513; 4.950; 1.550; 2.614; 3.910
   del Hyi;          ;02 21 44.9427;-68 39 33.905; 4.080; 0.041; 0.030; 0.040
 65    And;          ;02 25 37.4227;+50 16 43.072; 4.720; 1.541; 1.171; 2.050
 72rho Cet;          ;02 25 57.0053;-12 17 25.727; 4.880;-0.025; 0.004;-0.050
   kap Eri; 15515    ;02 26 59.1223;-47 42 13.825; 4.250;-0.131;-0.030;-0.160
 73xi 2Cet;          ;02 28 09.5425;+08 27 36.193; 4.280;-0.038;-0.047;-0.040
   iot Cas;iot   Cas ;02 29 03.9458;+67 24 08.906; 4.630; 0.119; 0.111; 0.220
  1alp UMi;alp   UMi ;02 31 49.0837;+89 15 50.794; 2.000; 0.620; 0.471; 0.800
 76sig Cet;          ;02 32 05.2283;-15 14 40.837; 4.740; 0.450; 0.410; 0.680
   ome For;          ;02 33 50.7040;-28 13 56.437; 4.970;-0.055; 0.020;-0.050
 78nu  Cet;          ;02 35 52.4721;+05 35 35.687; 4.880; 0.875; 0.646; 1.140
 82del Cet;del   Cet ;02 39 28.9567;+00 19 42.638; 4.070;-0.209;-0.161;-0.280
 83eps Cet;          ;02 39 33.8353;-11 52 19.787; 4.830; 0.444; 0.386;
   eps Hyi;          ;02 39 35.3614;-68 16 01.006; 4.110;-0.049;-0.040;-0.110
          ;          ;02 39 47.9927;-42 53 30.012; 4.740; 0.061; 0.100; 0.110
   iot Eri;          ;02 40 40.0344;-39 51 19.352; 4.120; 1.001; 0.790; 1.350
 12    Per;   896    ;02 42 14.9160;+40 11 38.198; 4.900; 0.582; 0.463; 0.800
 86gam Cet;          ;02 43 18.0390;+03 14 08.947; 3.470; 0.093; 0.064; 0.150
 35    Ari;          ;02 43 27.1128;+27 42 25.728; 4.650;-0.126;-0.079;-0.150
 89pi  Cet;          ;02 44 07.3499;-13 51 31.307; 4.250;-0.116;-0.070;-0.180
 13the Per;   902    ;02 44 11.9863;+49 13 42.412; 4.110; 0.503; 0.419; 0.760
 87mu  Cet;   909    ;02 44 56.5423;+10 06 50.925; 4.270; 0.312; 0.262; 0.490
  1tau1Eri;          ;02 45 06.1851;-18 34 21.225; 4.470; 0.483; 0.430; 0.700
   zet Hyi;          ;02 45 32.6345;-67 36 59.821; 4.840; 0.064; 0.030; 0.100
 39    Ari;          ;02 47 54.5407;+29 14 49.625; 4.520; 1.113; 0.797; 1.380
   bet For;          ;02 49 05.4196;-32 24 21.232; 4.460; 0.973; 0.760; 1.300
 41    Ari;   951    ;02 49 59.0323;+27 15 37.825; 3.620;-0.095;-0.073;-0.140
   nu  Hyi;          ;02 50 28.4600;-75 04 01.010; 4.740; 1.337; 0.890; 1.550
 16    Per;   956    ;02 50 35.0597;+38 19 07.117; 4.220; 0.361; 0.309; 0.530
 15eta Per; 15587    ;02 50 41.8101;+55 53 43.786; 3.760; 1.651; 1.185; 2.120
  2tau2Eri;          ;02 51 02.3215;-21 00 14.470; 4.770; 0.909; 0.700; 1.170
 17    Per;   963    ;02 51 30.8375;+35 03 35.068; 4.550; 1.562; 1.229; 2.160
 18tau Per;tau   Per ;02 54 15.4606;+52 45 44.924; 3.940; 0.743; 0.601; 1.070
  3eta Eri;   988    ;02 56 25.6497;-08 53 53.320; 3.900; 1.086; 0.802; 1.370
   the1Eri;  1002    ;02 58 15.6747;-40 18 16.821; 3.220; 0.156; 0.140; 0.220
   the2Eri;  1002    ;02 58 16.4017;-40 18 16.905; 4.310; 0.087;      ;
 22pi  Per;          ;02 58 45.6701;+39 39 45.823; 4.690; 0.069; 0.062; 0.140
   bet Hor;          ;02 58 47.7966;-64 04 16.623; 4.980; 0.134; 0.120; 0.170
 24    Per;          ;02 59 03.6766;+35 10 59.262; 4.940; 1.228; 0.889; 1.530
 48eps Ari;  1001    ;02 59 12.6767;+21 20 24.262; 4.630; 0.048; 0.028; 0.070
 48eps Ari;  1001    ;02 59 12.7257;+21 20 25.544; 4.630; 0.048; 0.028; 0.060
 91lam Cet;          ;02 59 42.9018;+08 54 26.513; 4.710;-0.107;-0.058;-0.140
 92alp Cet;alp   Cet ;03 02 16.7722;+04 05 23.042; 2.550; 1.627; 1.388; 2.510
 11tau3Eri;          ;03 02 23.5002;-23 37 28.098; 4.090; 0.170; 0.130; 0.220
 23gam Per;gam   Per ;03 04 47.7907;+53 30 23.184; 2.940; 0.699; 0.595; 1.040
 25rho Per;rho   Per ;03 05 10.5934;+38 50 24.986; 3.410; 1.497; 1.785; 3.420
          ;          ;03 05 32.4114;+56 42 20.589; 4.770; 1.025; 0.742;
 26bet Per;bet   Per ;03 08 10.1316;+40 57 20.332; 2.110;-0.006; 0.010; 0.010
   iot Per;          ;03 09 04.0196;+49 36 47.799; 4.050; 0.604; 0.484; 0.820
 27kap Per;  1055    ;03 09 29.7715;+44 51 27.157; 3.790; 0.984; 0.699; 1.240
 28ome Per;          ;03 11 17.3816;+39 36 41.697; 4.610; 1.119; 0.788; 1.400
 57del Ari;  1066    ;03 11 37.7655;+19 43 36.039; 4.350; 1.029; 0.737; 1.280
          ;          ;03 11 56.2699;+74 23 37.173; 4.840; 0.048; 0.022; 0.070
   alp For;          ;03 12 04.5277;-28 59 15.425; 3.800; 0.543; 0.460; 0.770
 58zet Ari;          ;03 14 54.0961;+21 02 39.988; 4.880;-0.008;-0.017; 0.030
 13zet Eri;  1088    ;03 15 50.0245;-08 49 11.028; 4.810; 0.232; 0.206; 0.340
 15    Eri;          ;03 18 22.1095;-22 30 40.028; 4.870; 0.901;      ;
          ;          ;03 18 43.8249;+34 13 21.549; 4.820; 1.463; 1.034; 1.830
 96kap1Cet;kap 1 Cet ;03 19 21.6960;+03 22 12.712; 4.850; 0.673; 0.536; 0.930
 16tau4Eri;tau 4 Eri ;03 19 31.0019;-21 45 28.310; 3.740; 1.552; 1.641; 3.040
          ;          ;03 19 55.6505;-43 04 11.221; 4.260; 0.711; 0.620; 1.020
          ;BK    Cam ;03 19 59.2727;+65 39 08.253; 4.740;-0.112; 0.023;-0.160
          ;          ;03 20 20.3608;+29 02 54.450; 4.460; 1.572; 1.150; 2.080
 32    Per;  1107    ;03 21 26.5587;+43 19 46.743; 4.950; 0.070; 0.018; 0.080
 33alp Per;  1125    ;03 24 19.3704;+49 51 40.247; 1.810; 0.512; 0.407; 0.780
  1omi Tau;  1134    ;03 24 48.7938;+09 01 43.931; 3.610; 0.891; 0.661; 1.130
  2xi  Tau;xi    Tau ;03 27 10.1526;+09 43 57.647; 3.730;-0.067;-0.049;-0.100
          ;          ;03 28 03.0697;+49 03 46.319; 4.990;-0.100;-0.059;-0.090
          ;CS    Cam ;03 29 04.1335;+59 56 25.188; 4.260; 0.373; 0.413; 0.760
 34    Per;          ;03 29 22.0502;+49 30 32.214; 4.690;-0.104;-0.056;-0.090
   kap Ret;          ;03 29 22.6776;-62 56 15.099; 4.710; 0.397; 0.340; 0.520
          ;CE    Cam ;03 29 54.7438;+58 52 43.499; 4.600; 0.488; 0.541; 1.010
 35sig Per;  1167    ;03 30 34.4836;+47 59 42.778; 4.340; 1.380; 1.010; 1.830
 17    Eri;          ;03 30 37.0577;-05 04 30.524; 4.740;-0.089;-0.056;-0.090
  5    Tau;          ;03 30 52.3783;+12 56 12.041; 4.130; 1.112; 0.772; 1.310
 18eps Eri;eps   Eri ;03 32 55.8442;-09 27 29.744; 3.730; 0.891; 0.702; 1.200
 19tau5Eri;          ;03 33 47.2761;-21 37 58.378; 4.270;-0.096; 0.000;-0.120
 37psi Per;psi   Per ;03 36 29.3789;+48 11 33.481; 4.320;-0.059; 0.058; 0.090
 10    Tau;          ;03 36 52.3832;+00 24 05.982; 4.300; 0.571; 0.473; 0.810
          ;          ;03 37 05.6802;-40 16 28.363; 4.590; 1.017; 0.840; 1.410
   del For;          ;03 42 14.9027;-31 56 18.101; 4.980;-0.151;-0.050;-0.200
 40    Per;          ;03 42 22.6466;+33 57 54.095; 4.980;-0.051; 0.029;
          ;          ;03 42 50.0554;-37 18 48.666; 4.590; 1.189;      ;
 39del Per;del   Per ;03 42 55.5028;+47 47 15.185; 3.020;-0.106;-0.072;-0.090
 23del Eri;del   Eri ;03 43 14.9018;-09 45 48.221; 3.530; 0.927; 0.702; 1.220
   bet Ret;          ;03 44 11.9775;-64 48 24.850; 3.840; 1.133; 0.800; 1.360
 38omi Per;omi   Per ;03 44 19.1320;+32 17 17.693; 3.860; 0.014; 0.085; 0.120
 17    Tau; 15755    ;03 44 52.5373;+24 06 48.021; 3.710;-0.097;-0.051;-0.110
 41nu  Per;  1261    ;03 45 11.6319;+42 34 42.775; 3.780; 0.441; 0.376; 0.660
 19    Tau;  1264    ;03 45 12.4945;+24 28 02.199; 4.300;-0.096;-0.051;-0.100
 20    Tau;  1279    ;03 45 49.6066;+24 22 03.895; 3.880;-0.063;-0.009;-0.020
          ;          ;03 46 02.3314;+63 20 42.170; 4.810; 0.748; 0.701; 1.270
 26pi  Eri;pi    Eri ;03 46 08.5356;-12 06 05.722; 4.430; 1.606; 1.340; 2.390
 23    Tau;V0971 Tau ;03 46 19.5738;+23 56 54.090; 4.170;-0.054;-0.001; 0.030
 27tau6Eri;          ;03 46 50.8875;-23 14 59.002; 4.220; 0.429; 0.390; 0.610
   gam Hyi; 15811    ;03 47 14.3412;-74 14 20.264; 3.260; 1.593; 1.340; 2.430
 25eta Tau; 15775    ;03 47 29.0765;+24 06 18.494; 2.870;-0.090;-0.023;-0.010
          ;  1359    ;03 48 35.8788;-37 37 12.557; 4.750;-0.020; 0.020;-0.020
 27    Tau;  1345    ;03 49 09.7426;+24 03 12.296; 3.630;-0.077;-0.029;-0.040
          ; 15809    ;03 49 27.2452;-36 12 00.901; 4.170; 0.936; 0.710; 1.210
          ;BE    Cam ;03 49 31.2819;+65 31 33.501; 4.420; 1.858; 1.698; 3.130
   gam Cam;          ;03 50 21.5091;+71 19 56.156; 4.620; 0.054; 0.063; 0.170
 33tau8Eri;tau 8 Eri ;03 53 42.7028;-24 36 44.028; 4.640;-0.124;-0.030;-0.170
 44zet Per;  1397    ;03 54 07.9215;+31 53 01.088; 2.880; 0.082; 0.147; 0.230
 32    Eri; 15841    ;03 54 17.5021;-02 57 17.027; 4.720; 0.909; 0.565; 0.980
          ;          ;03 57 25.4453;+63 04 20.151; 4.950;-0.056;-0.051;-0.010
 45eps Per;eps   Per ;03 57 51.2307;+40 00 36.773; 2.910;-0.174;-0.118;-0.250
 34gam Eri;gam   Eri ;03 58 01.7664;-13 30 30.655; 2.960; 1.586; 1.265; 2.260
   del Ret; 15864    ;03 58 44.7494;-61 24 00.668; 4.560; 1.604; 1.340; 2.370
 46xi  Per;xi    Per ;03 58 57.9011;+35 47 27.717; 4.050;-0.023; 0.086; 0.150
 36tau9Eri;tau 9 Eri ;03 59 55.4834;-24 00 58.375; 4.630;-0.112; 0.020;-0.110
 35lam Tau;lam   Tau ;04 00 40.8157;+12 29 25.248; 3.420;-0.103;-0.064;-0.120
   gam Ret;gam   Ret ;04 00 53.8073;-62 09 33.423; 4.510; 1.565; 1.660; 3.110
   iot Ret;          ;04 01 18.1515;-61 04 43.758; 4.960; 1.414; 1.040; 1.770
